elo_rank,name,age,elo_overall,hard_rank,elo_hard,clay_rank,elo_clay,grass_rank,elo_grass,peak_elo,wta_rank
146,Polina Kudermetova,22.5,1646,139,1611,143,1575,153,1511,1770,150
147,Anca Alexia Todoni,20.9,1643,183,1550,77,1692,151,1514,1785,162
148,Sara Errani,38.0,1643,165,1578,121,1611,161,1507,2086,636
149,Tatiana Prozorova,22.2,1642,132,1621,149,1569,170,1496,1730,174
150,Diane Parry,23.3,1641,168,1569,132,1597,81,1618,1764,122
151,Sara Sorribes Tormo,29.2,1639,136,1613,129,1606,140,1525,1901,297
152,Emiliana Arango,25.1,1637,135,1614,151,1569,213,1453,1698,51
153,Veronika Erjavec,26.0,1636,192,1530,111,1621,114,1562,1722,102
154,Linda Fruhvirtova,20.5,1636,151,1594,195,1508,113,1565,1764,132
155,Leolia Jeanjean,30.3,1634,164,1582,120,1612,175,1491,1685,103
156,Tamara Zidansek,28.0,1631,179,1560,122,1610,193,1469,1857,151
157,Daria Snigur,23.7,1630,146,1600,222,1471,123,1546,1708,136
158,Anna Lena Friedsam,31.9,1628,163,1582,157,1560,186,1476,1843,156
159,Mananchaya Sawangkaew,23.4,1627,142,1608,186,1516,141,1524,1775,197
160,Rebecca Marino,34.7,1626,154,1591,208,1493,108,1571,1834,201
161,Panna Udvardy,27.2,1626,182,1556,136,1587,124,1543,1705,90
162,Dominika Salkova,21.5,1625,144,1605,177,1528,205,1462,1685,144
163,Olivia Gadecki,23.6,1625,143,1605,185,1518,165,1499,1768,172
164,Darja Vidmanova,22.9,1624,148,1597,224,1468,195,1467,1692,142
165,Alize Cornet,35.6,1623,158,1587,152,1567,102,1578,2012,
166,Lanlana Tararudee,21.4,1622,147,1600,187,1515,131,1536,1655,131
167,Maria Timofeeva,22.1,1621,153,1592,159,1560,267,1408,1655,138
168,Anastasia Zakharova,23.9,1621,161,1582,200,1505,105,1576,1707,105
169,Tamara Korpatsch,30.6,1620,169,1568,130,1603,235,1435,1718,124
170,Lisa Pigato,22.5,1613,133,1620,175,1530,126,1540,1621,191
171,Madison Brengle,35.7,1613,160,1583,148,1571,159,1508,1853,455
172,Lucie Havlickova,20.7,1612,152,1593,192,1509,155,1510,1655,281
173,Alycia Parks,25.0,1611,156,1590,217,1479,142,1521,1825,99
174,Yuliia Starodubtseva,25.8,1610,177,1562,131,1597,147,1519,1835,110
175,Nikola Bartunkova,19.8,1610,175,1564,145,1574,183,1480,1692,126
176,Teodora Kostovic,18.5,1610,204,1520,108,1630,184,1480,1686,177
177,Varvara Lepchenko,39.5,1609,162,1582,153,1565,182,1480,1892,146
178,Nina Stojanovic,29.2,1609,181,1558,137,1587,119,1554,1753,300
179,Elizara Yaneva,18.8,1608,178,1561,213,1487,185,1479,1648,319
180,Celine Naef,20.5,1605,155,1590,232,1461,116,1560,1713,267
181,Eva Guerrero Alvarez,26.2,1602,149,1595,225,1468,211,1454,1602,249
182,Arantxa Rus,34.9,1601,170,1566,134,1591,209,1455,1774,133
183,Hanyu Guo,27.6,1601,166,1576,221,1476,187,1475,1643,173
184,Lucrezia Stefanini,27.6,1600,171,1565,180,1524,135,1530,1650,139
185,Hanne Vandewinkel,21.6,1599,150,1595,164,1550,202,1464,1678,125
186,Xinyu Gao,28.0,1598,186,1545,160,1557,243,1428,1610,209
187,Sofia Costoulas,20.7,1596,173,1564,184,1518,223,1443,1625,143
188,Carson Branstine,25.3,1596,212,1508,156,1560,106,1573,1675,180
189,Heather Watson,33.2,1596,174,1564,239,1453,132,1534,1912,266
190,Victoria Jimenez Kasintseva,20.4,1592,189,1533,147,1572,190,1473,1710,114
191,Harriet Dart,29.3,1591,167,1572,258,1430,130,1537,1727,170
192,Lucia Bronzetti,27.0,1590,184,1549,163,1553,192,1469,1778,107
193,Nuria Brancaccio,25.3,1587,308,1397,135,1589,254,1420,1642,165
194,Polona Hercog,34.9,1582,202,1520,142,1578,146,1519,1895,315
195,Tiantsoa Sarah Rakotomanga Rajaonah,20.0,1581,187,1543,173,1535,198,1465,1644,118
196,Jana Fett,29.0,1580,201,1523,161,1556,169,1496,1756,189
197,Oceane Dodin,29.2,1578,180,1558,210,1492,189,1474,1828,682
198,Maddison Inglis,27.8,1577,185,1547,242,1449,191,1470,1636,168
199,Lauren Davis,31.8,1572,172,1565,190,1511,154,1510,1924,365
200,Ekaterine Gorgodze,34.0,1568,207,1514,198,1505,180,1484,1610,169
