winner,loser,surface,actual_total,model_total,model_std,model_prob,error,abs_error
Bondar A.,Sherif M.,Hard,22,23.6,5.9,0.713,1.6000000000000014,1.6000000000000014
Minnen G.,Tomova V.,Hard,21,24.0,5.8,0.621,3.0,3.0
Kudermetova V.,Cocciaretto E.,Hard,18,24.5,5.9,0.593,6.5,6.5
Blinkova A.,Pera B.,Hard,22,24.6,5.7,0.513,2.6000000000000014,2.6000000000000014
Yastremska D.,Volynets K.,Hard,25,24.4,5.8,0.45899999999999996,-0.6000000000000014,0.6000000000000014
Kenin S.,Sun L.,Hard,28,24.3,5.6,0.457,-3.6999999999999993,3.6999999999999993
Joint M.,Danilovic O.,Hard,17,24.5,5.7,0.478,7.5,7.5
Linette M.,Gracheva V.,Hard,28,24.2,5.7,0.561,-3.8000000000000007,3.8000000000000007
Zarazua R.,Bronzetti L.,Hard,19,24.4,5.9,0.607,5.399999999999999,5.399999999999999
Anisimova A.,Saville D.,Hard,18,23.5,5.9,0.772,5.5,5.5
Kenin S.,Blinkova A.,Hard,25,24.6,5.7,0.5539999999999999,-0.3999999999999986,0.3999999999999986
Joint M.,Linette M.,Hard,14,24.6,5.6,0.451,10.600000000000001,10.600000000000001
Avanesyan E.,Minnen G.,Hard,16,24.2,5.5,0.446,8.2,8.2
Yastremska D.,Li A.,Hard,27,24.4,5.9,0.434,-2.6000000000000014,2.6000000000000014
Anisimova A.,Bondar A.,Hard,19,24.6,5.7,0.731,5.600000000000001,5.600000000000001
Mertens E.,Zarazua R.,Hard,19,24.4,5.8,0.579,5.399999999999999,5.399999999999999
Kessler M.,Yastremska D.,Hard,22,24.4,5.8,0.5760000000000001,2.3999999999999986,2.3999999999999986
Joint M.,Kenin S.,Hard,16,24.5,5.7,0.507,8.5,8.5
Mertens E.,Kudermetova V.,Hard,21,24.8,5.7,0.5479999999999999,3.8000000000000007,3.8000000000000007
Kessler M.,Avanesyan E.,Hard,29,24.0,5.8,0.633,-5.0,5.0
Mertens E.,Joint M.,Hard,17,24.0,5.9,0.649,7.0,7.0
Kessler M.,Mertens E.,Hard,25,24.5,5.6,0.474,-0.5,0.5
Andreeva M.,Bouzkova M.,Hard,18,24.0,5.9,0.713,6.0,6.0
Lamens S.,Erjavec V.,Hard,25,23.4,5.7,0.465,-1.6000000000000014,1.6000000000000014
Maria T.,Pera B.,Hard,23,24.6,5.7,0.484,1.6000000000000014,1.6000000000000014
Vekic D.,Parry D.,Hard,20,23.8,5.8,0.5870000000000001,3.8000000000000007,3.8000000000000007
Tauson C.,Noskova L.,Hard,31,24.4,5.8,0.516,-6.600000000000001,6.600000000000001
Bouzas Maneiro J.,Kartal S.,Hard,20,22.7,5.9,0.273,2.6999999999999993,2.6999999999999993
Blinkova A.,Saville D.,Hard,29,24.0,5.7,0.524,-5.0,5.0
Siegemund L.,Baptiste H.,Hard,32,24.9,5.9,0.466,-7.100000000000001,7.100000000000001
Samsonova L.,Rakhimova K.,Hard,18,24.7,5.8,0.623,6.699999999999999,6.699999999999999
Danilovic O.,Rus A.,Hard,20,24.2,5.8,0.617,4.199999999999999,4.199999999999999
Gibson T.,Sonmez Z.,Hard,29,23.9,5.8,0.541,-5.100000000000001,5.100000000000001
Sramkova R.,Volynets K.,Hard,25,24.6,5.8,0.47100000000000003,-0.3999999999999986,0.3999999999999986
Shnaider D.,Cocciaretto E.,Hard,23,24.5,5.5,0.595,1.5,1.5
Uchijima M.,Linette M.,Hard,31,23.9,5.8,0.355,-7.100000000000001,7.100000000000001
Tomljanovic A.,Krueger A.,Hard,30,23.6,5.5,0.5479999999999999,-6.399999999999999,6.399999999999999
Gauff C.,Kenin S.,Hard,18,24.4,5.8,0.6679999999999999,6.399999999999999,6.399999999999999
Frech M.,Kudermetova P.,Hard,20,24.2,5.6,0.598,4.199999999999999,4.199999999999999
Svitolina E.,Cirstea S.,Hard,20,25.0,5.7,0.5329999999999999,5.0,5.0
Bronzetti L.,Azarenka V.,Hard,21,24.1,5.7,0.35,3.1000000000000014,3.1000000000000014
Dolehide C.,Bejlek S.,Hard,21,23.4,5.7,0.315,2.3999999999999986,2.3999999999999986
Swiatek I.,Siniakova K.,Hard,19,23.9,5.7,0.705,4.899999999999999,4.899999999999999
Potapova A.,Zidansek T.,Hard,20,24.3,5.6,0.639,4.300000000000001,4.300000000000001
Bencic B.,Ostapenko J.,Hard,22,23.7,5.9,0.715,1.6999999999999993,1.6999999999999993
Pavlyuchenkova A.,Yuan Y.,Hard,29,24.2,5.8,0.47,-4.800000000000001,4.800000000000001
Pegula J.,Joint M.,Hard,15,23.3,5.7,0.816,8.3,8.3
Cristian J.,Martic P.,Hard,31,24.3,5.7,0.565,-6.699999999999999,6.699999999999999
Kostyuk M.,Hibino N.,Hard,25,24.3,5.7,0.7070000000000001,-0.6999999999999993,0.6999999999999993
Mertens E.,Golubic V.,Hard,33,24.4,5.7,0.612,-8.600000000000001,8.600000000000001
Collins D.,Snigur D.,Hard,22,22.2,5.7,0.409,0.1999999999999993,0.1999999999999993
Osaka N.,Garcia C.,Hard,27,24.3,5.9,0.6859999999999999,-2.6999999999999993,2.6999999999999993
Wang Y.,Bondar A.,Hard,28,24.1,5.7,0.489,-3.8999999999999986,3.8999999999999986
Raducanu E.,Alexandrova E.,Hard,26,24.3,5.8,0.514,-1.6999999999999993,1.6999999999999993
Kasatkina D.,Tomova V.,Hard,16,24.5,5.8,0.625,8.5,8.5
Navarro E.,Stearns P.,Hard,38,23.8,5.6,0.649,-14.2,14.2
Yastremska D.,Sherif M.,Hard,17,24.1,5.9,0.7390000000000001,7.100000000000001,7.100000000000001
Gracheva V.,Mcnally C.,Hard,19,24.5,5.8,0.465,5.5,5.5
Rybakina E.,Jones E.,Hard,14,24.4,5.6,0.79,10.399999999999999,10.399999999999999
Putintseva Y.,Avanesyan E.,Hard,30,24.6,5.8,0.625,-5.399999999999999,5.399999999999999
Zhang S.,Kessler M.,Hard,19,23.6,5.7,0.5379999999999999,4.600000000000001,4.600000000000001
Keys M.,Li A.,Hard,22,24.4,5.8,0.539,2.3999999999999986,2.3999999999999986
Zarazua R.,Townsend T.,Hard,28,24.6,5.8,0.48,-3.3999999999999986,3.3999999999999986
Jabeur O.,Kalinina A.,Hard,18,23.5,5.9,0.648,5.5,5.5
Boulter K.,Marino R.,Hard,31,23.9,5.7,0.5329999999999999,-7.100000000000001,7.100000000000001
Kudermetova V.,Gadecki O.,Hard,14,24.4,5.8,0.688,10.399999999999999,10.399999999999999
Siegemund L.,Zheng Q.,Hard,22,24.0,5.6,0.345,2.0,2.0
Danilovic O.,Samsonova L.,Hard,15,24.2,5.9,0.452,9.2,9.2
Andreeva M.,Uchijima M.,Hard,32,22.8,5.9,0.843,-9.2,9.2
Sabalenka A.,Bouzas Maneiro J.,Hard,21,23.2,5.7,0.8240000000000001,2.1999999999999993,2.1999999999999993
Tauson C.,Maria T.,Hard,16,24.8,5.8,0.6759999999999999,8.8,8.8
Frech M.,Blinkova A.,Hard,20,24.4,5.7,0.601,4.399999999999999,4.399999999999999
Pegula J.,Mertens E.,Hard,18,24.4,5.7,0.674,6.399999999999999,6.399999999999999
Bencic B.,Lamens S.,Hard,20,23.9,5.7,0.7829999999999999,3.8999999999999986,3.8999999999999986
Osaka N.,Muchova K.,Hard,23,24.8,6.0,0.512,1.8000000000000007,1.8000000000000007
