winner,loser,surface,actual_total,model_total,model_std,model_prob,error,abs_error
Blinkova A.,Sorribes Tormo S.,Hard,16,24.3,5.7,0.465,8.3,8.3
Stearns P.,Gracheva V.,Hard,24,24.4,5.9,0.524,0.3999999999999986,0.3999999999999986
Siniakova K.,Jones F.,Hard,33,23.8,5.6,0.737,-9.2,9.2
Seidel E.,Cristian J.,Hard,18,24.4,6.1,0.455,6.399999999999999,6.399999999999999
Kalinina A.,Lamens S.,Hard,27,24.7,5.9,0.609,-2.3000000000000007,2.3000000000000007
Sasnovich A.,Stakusic M.,Hard,21,24.6,5.6,0.563,3.6000000000000014,3.6000000000000014
Tomova V.,Danilovic O.,Hard,24,24.1,5.7,0.386,0.10000000000000142,0.10000000000000142
Siniakova K.,Dolehide C.,Hard,25,23.9,6.0,0.67,-1.1000000000000014,1.1000000000000014
Potapova A.,Golubic V.,Hard,22,23.7,5.7,0.5479999999999999,1.6999999999999993,1.6999999999999993
Seidel E.,Blinkova A.,Hard,21,23.8,5.8,0.536,2.8000000000000007,2.8000000000000007
Bronzetti L.,Stearns P.,Hard,21,24.3,5.8,0.43,3.3000000000000007,3.3000000000000007
Cocciaretto E.,Bogdan A.,Hard,15,24.1,5.7,0.5579999999999999,9.100000000000001,9.100000000000001
Sasnovich A.,Kalinina A.,Hard,31,23.8,5.7,0.562,-7.199999999999999,7.199999999999999
Siniakova K.,Tomova V.,Hard,22,23.7,5.7,0.727,1.6999999999999993,1.6999999999999993
Potapova A.,Seidel E.,Hard,17,24.1,5.7,0.63,7.100000000000001,7.100000000000001
Bronzetti L.,Cocciaretto E.,Hard,17,24.9,5.8,0.428,7.899999999999999,7.899999999999999
Potapova A.,Sasnovich A.,Hard,21,24.2,5.5,0.545,3.1999999999999993,3.1999999999999993
Potapova A.,Bronzetti L.,Hard,25,24.6,5.9,0.631,-0.3999999999999986,0.3999999999999986
Bucsa C.,Kalinskaya A.,Hard,35,24.1,5.8,0.495,-10.899999999999999,10.899999999999999
Parks A.,Shnaider D.,Hard,23,24.8,5.9,0.318,1.8000000000000007,1.8000000000000007
Garcia C.,Yuan Y.,Hard,20,24.2,5.8,0.49200000000000005,4.199999999999999,4.199999999999999
Kostyuk M.,Sonmez Z.,Hard,18,24.4,5.7,0.635,6.399999999999999,6.399999999999999
Samsonova L.,Sun L.,Hard,18,24.5,5.7,0.546,6.5,6.5
Andreeva M.,Volynets K.,Hard,33,23.9,5.8,0.768,-9.100000000000001,9.100000000000001
Frech M.,Haddad Maia B.,Hard,27,23.9,6.0,0.5579999999999999,-3.1000000000000014,3.1000000000000014
Alexandrova E.,Raducanu E.,Hard,21,24.0,5.7,0.48700000000000004,3.0,3.0
Anisimova A.,Azarenka V.,Hard,21,24.3,5.7,0.632,3.3000000000000007,3.3000000000000007
Noskova L.,Vekic D.,Hard,18,24.6,5.8,0.602,6.600000000000001,6.600000000000001
Sramkova R.,Kalinina A.,Hard,17,24.2,5.7,0.541,7.199999999999999,7.199999999999999
Kenin S.,Krueger A.,Hard,20,24.6,5.8,0.594,4.600000000000001,4.600000000000001
Putintseva Y.,Uchijima M.,Hard,30,24.1,5.7,0.6759999999999999,-5.899999999999999,5.899999999999999
Ostapenko J.,Ito A.,Hard,15,23.8,5.7,0.498,8.8,8.8
Kasatkina D.,Kudermetova P.,Hard,12,24.4,5.6,0.5710000000000001,12.399999999999999,12.399999999999999
Linette M.,Kudermetova V.,Hard,25,24.6,5.7,0.446,-0.3999999999999986,0.3999999999999986
Stearns P.,Yastremska D.,Hard,21,23.9,5.7,0.521,2.8999999999999986,2.8999999999999986
Svitolina E.,Vondrousova M.,Hard,26,24.2,5.8,0.58,-1.8000000000000007,1.8000000000000007
Jabeur O.,Kessler M.,Hard,14,23.9,5.7,0.496,9.899999999999999,9.899999999999999
Badosa P.,Zarazua R.,Hard,27,24.0,5.6,0.499,-3.0,3.0
Swiatek I.,Sakkari M.,Hard,17,23.6,5.8,0.7390000000000001,6.600000000000001,6.600000000000001
Paolini J.,Garcia C.,Hard,19,24.5,5.8,0.67,5.5,5.5
Kenin S.,Parks A.,Hard,30,24.1,5.6,0.586,-5.899999999999999,5.899999999999999
Mertens E.,Bucsa C.,Hard,17,24.5,5.9,0.611,7.5,7.5
Noskova L.,Putintseva Y.,Hard,17,24.3,5.6,0.5660000000000001,7.300000000000001,7.300000000000001
Ostapenko J.,Samsonova L.,Hard,25,24.2,5.6,0.429,-0.8000000000000007,0.8000000000000007
Kostyuk M.,Gauff C.,Hard,20,24.5,5.9,0.467,4.5,4.5
Rybakina E.,Stearns P.,Hard,18,24.1,6.0,0.7879999999999999,6.100000000000001,6.100000000000001
Sramkova R.,Andreeva M.,Hard,30,24.1,5.7,0.223,-5.899999999999999,5.899999999999999
Pegula J.,Svitolina E.,Hard,22,24.6,5.8,0.591,2.6000000000000014,2.6000000000000014
Jabeur O.,Zheng Q.,Hard,18,24.5,5.7,0.441,6.5,6.5
Alexandrova E.,Sabalenka A.,Hard,31,24.1,5.9,0.306,-6.899999999999999,6.899999999999999
Kasatkina D.,Avanesyan E.,Hard,17,23.8,5.6,0.55,6.800000000000001,6.800000000000001
Linette M.,Frech M.,Hard,34,24.2,5.8,0.536,-9.8,9.8
Anisimova A.,Badosa P.,Hard,19,24.3,5.4,0.6890000000000001,5.300000000000001,5.300000000000001
Rybakina E.,Sramkova R.,Hard,21,24.3,5.8,0.813,3.3000000000000007,3.3000000000000007
Ostapenko J.,Paolini J.,Hard,16,23.5,6.0,0.292,7.5,7.5
Pegula J.,Kasatkina D.,Hard,21,23.6,5.7,0.7659999999999999,2.6000000000000014,2.6000000000000014
Kostyuk M.,Linette M.,Hard,18,24.1,5.7,0.638,6.100000000000001,6.100000000000001
Swiatek I.,Noskova L.,Hard,33,23.6,5.7,0.703,-9.399999999999999,9.399999999999999
Alexandrova E.,Mertens E.,Hard,18,24.2,5.8,0.5,6.199999999999999,6.199999999999999
Jabeur O.,Kenin S.,Hard,19,24.6,5.8,0.623,5.600000000000001,5.600000000000001
Alexandrova E.,Pegula J.,Hard,24,24.0,5.7,0.311,0.0,0.0
Swiatek I.,Rybakina E.,Hard,20,24.8,5.9,0.43799999999999994,4.800000000000001,4.800000000000001
Ostapenko J.,Jabeur O.,Hard,16,24.1,5.7,0.386,8.100000000000001,8.100000000000001
Anisimova A.,Kostyuk M.,Hard,32,24.5,5.7,0.586,-7.5,7.5
Ostapenko J.,Swiatek I.,Hard,16,23.4,6.0,0.188,7.399999999999999,7.399999999999999
Anisimova A.,Alexandrova E.,Hard,18,23.9,5.7,0.612,5.899999999999999,5.899999999999999
Anisimova A.,Ostapenko J.,Hard,19,23.6,5.7,0.7490000000000001,4.600000000000001,4.600000000000001
Badosa P.,Sun L.,Hard,19,24.4,5.9,0.519,5.399999999999999,5.399999999999999
Yastremska D.,Linette M.,Hard,21,24.6,5.7,0.484,3.6000000000000014,3.6000000000000014
Kenin S.,Vekic D.,Hard,21,24.6,5.8,0.47100000000000003,3.6000000000000014,3.6000000000000014
Noskova L.,Putintseva Y.,Hard,21,24.4,5.6,0.556,3.3999999999999986,3.3999999999999986
Bencic B.,Ito A.,Hard,14,24.7,5.7,0.6629999999999999,10.7,10.7
Samsonova L.,Pavlyuchenkova A.,Hard,16,24.1,5.7,0.5539999999999999,8.100000000000001,8.100000000000001
Vondrousova M.,Garcia C.,Hard,16,24.2,5.9,0.65,8.2,8.2
Muchova K.,Lamens S.,Hard,16,23.7,5.7,0.794,7.699999999999999,7.699999999999999
Svitolina E.,Kalinskaya A.,Hard,15,23.6,5.9,0.66,8.600000000000001,8.600000000000001
Raducanu E.,Sakkari M.,Hard,18,23.6,5.9,0.619,5.600000000000001,5.600000000000001
Potapova A.,Haddad Maia B.,Hard,15,23.7,5.9,0.613,8.7,8.7
Shnaider D.,Frech M.,Hard,16,24.8,5.8,0.57,8.8,8.8
Cirstea S.,Kasatkina D.,Hard,17,23.8,5.8,0.672,6.800000000000001,6.800000000000001
Kostyuk M.,Siniakova K.,Hard,19,24.0,5.8,0.568,5.0,5.0
Tauson C.,Sramkova R.,Hard,19,24.4,5.8,0.628,5.399999999999999,5.399999999999999
Azarenka V.,Kalinina A.,Hard,31,23.9,5.6,0.6629999999999999,-7.100000000000001,7.100000000000001
Uchijima M.,Ostapenko J.,Hard,18,24.3,5.9,0.376,6.300000000000001,6.300000000000001
Kessler M.,Anisimova A.,Hard,17,24.2,5.7,0.35600000000000004,7.199999999999999,7.199999999999999
Kudermetova V.,Alexandrova E.,Hard,28,24.1,5.8,0.44299999999999995,-3.8999999999999986,3.8999999999999986
Stearns P.,Jabeur O.,Hard,23,24.7,5.7,0.426,1.6999999999999993,1.6999999999999993
Andreeva M.,Avanesyan E.,Hard,15,23.2,5.9,0.807,8.2,8.2
Paolini J.,Lys E.,Hard,20,24.2,5.7,0.628,4.199999999999999,4.199999999999999
Badosa P.,Mertens E.,Hard,15,24.3,5.7,0.41200000000000003,9.3,9.3
Rybakina E.,Uchijima M.,Hard,17,23.2,5.9,0.87,6.199999999999999,6.199999999999999
Noskova L.,Shnaider D.,Hard,32,24.5,5.8,0.517,-7.5,7.5
Kenin S.,Kostyuk M.,Hard,38,24.3,5.8,0.342,-13.7,13.7
Pegula J.,Samsonova L.,Hard,16,23.6,5.7,0.748,7.600000000000001,7.600000000000001
Swiatek I.,Azarenka V.,Hard,14,23.8,5.9,0.7040000000000001,9.8,9.8
Yastremska D.,Potapova A.,Hard,17,23.9,5.7,0.43700000000000006,6.899999999999999,6.899999999999999
Kessler M.,Gauff C.,Hard,22,24.3,5.8,0.43700000000000006,2.3000000000000007,2.3000000000000007
Sabalenka A.,Kudermetova V.,Hard,19,24.1,5.8,0.726,5.100000000000001,5.100000000000001
Muchova K.,Raducanu E.,Hard,23,24.8,5.5,0.555,1.8000000000000007,1.8000000000000007
Tauson C.,Svitolina E.,Hard,35,24.6,5.9,0.39799999999999996,-10.399999999999999,10.399999999999999
Navarro E.,Bencic B.,Hard,30,24.4,5.7,0.446,-5.600000000000001,5.600000000000001
Cirstea S.,Parks A.,Hard,26,23.1,5.9,0.773,-2.8999999999999986,2.8999999999999986
Andreeva M.,Vondrousova M.,Hard,18,23.4,5.7,0.6459999999999999,5.399999999999999,5.399999999999999
Stearns P.,Zheng Q.,Hard,29,24.5,5.7,0.37200000000000005,-4.5,4.5
Kenin S.,Paolini J.,Hard,16,24.4,5.8,0.29600000000000004,8.399999999999999,8.399999999999999
Noskova L.,Pegula J.,Hard,22,24.4,5.9,0.309,2.3999999999999986,2.3999999999999986
Rybakina E.,Badosa P.,Hard,36,24.0,5.7,0.762,-12.0,12.0
Swiatek I.,Yastremska D.,Hard,18,24.2,5.8,0.767,6.199999999999999,6.199999999999999
Andreeva M.,Stearns P.,Hard,14,23.9,6.0,0.7759999999999999,9.899999999999999,9.899999999999999
Muchova K.,Kessler M.,Hard,29,24.0,5.8,0.611,-5.0,5.0
Tauson C.,Sabalenka A.,Hard,17,25.0,5.6,0.28800000000000003,8.0,8.0
Cirstea S.,Navarro E.,Hard,34,24.6,5.9,0.563,-9.399999999999999,9.399999999999999
Andreeva M.,Swiatek I.,Hard,18,24.3,5.8,0.48100000000000004,6.300000000000001,6.300000000000001
Tauson C.,Noskova L.,Hard,23,24.5,5.9,0.529,1.5,1.5
Rybakina E.,Kenin S.,Hard,21,24.4,5.8,0.8009999999999999,3.3999999999999986,3.3999999999999986
Muchova K.,Cirstea S.,Hard,20,24.8,5.7,0.529,4.800000000000001,4.800000000000001
Andreeva M.,Rybakina E.,Hard,29,24.3,5.6,0.419,-4.699999999999999,4.699999999999999
Tauson C.,Muchova K.,Hard,32,24.5,5.8,0.408,-7.5,7.5
Andreeva M.,Tauson C.,Hard,20,24.1,5.8,0.6990000000000001,4.100000000000001,4.100000000000001
Tomljanovic A.,Volynets K.,Hard,25,23.7,5.8,0.419,-1.3000000000000007,1.3000000000000007
Birrell K.,Yuan Y.,Hard,26,24.2,5.7,0.436,-1.8000000000000007,1.8000000000000007
Blinkova A.,Uchijima M.,Hard,26,24.6,5.8,0.53,-1.3999999999999986,1.3999999999999986
Maria T.,Bondar A.,Hard,27,24.8,5.6,0.434,-2.1999999999999993,2.1999999999999993
Bucsa C.,Pera B.,Hard,19,24.1,5.9,0.615,5.100000000000001,5.100000000000001
Dolehide C.,Zakharova A.,Hard,30,24.5,5.9,0.528,-5.5,5.5
Gracheva V.,Stearns P.,Hard,17,24.0,5.5,0.461,7.0,7.0
Shnaider D.,Prozorova T.,Hard,26,24.4,5.7,0.6409999999999999,-1.6000000000000014,1.6000000000000014
Cirstea S.,Siegemund L.,Hard,22,24.0,5.7,0.693,2.0,2.0
Lamens S.,Rakhimova K.,Hard,26,24.3,5.8,0.423,-1.6999999999999993,1.6999999999999993
Kessler M.,Golubic V.,Hard,20,24.5,5.8,0.562,4.5,4.5
Blinkova A.,Maria T.,Hard,16,23.9,5.6,0.515,7.899999999999999,7.899999999999999
Cirstea S.,Shnaider D.,Hard,27,24.1,5.8,0.58,-2.8999999999999986,2.8999999999999986
Kessler M.,Bucsa C.,Hard,34,24.2,5.7,0.5539999999999999,-9.8,9.8
Minnen G.,Lamens S.,Hard,13,24.0,5.9,0.65,11.0,11.0
Dolehide C.,Gracheva V.,Hard,28,24.1,5.6,0.483,-3.8999999999999986,3.8999999999999986
Pegula J.,Blinkova A.,Hard,16,23.2,5.9,0.8370000000000001,7.199999999999999,7.199999999999999
Kessler M.,Cirstea S.,Hard,29,24.4,5.7,0.40299999999999997,-4.600000000000001,4.600000000000001
Minnen G.,Dolehide C.,Hard,21,23.9,5.7,0.5429999999999999,2.8999999999999986,2.8999999999999986
Pegula J.,Tomljanovic A.,Hard,26,22.2,5.7,0.835,-3.8000000000000007,3.8000000000000007
Kessler M.,Minnen G.,Hard,22,24.6,5.6,0.5870000000000001,2.6000000000000014,2.6000000000000014
Pegula J.,Kessler M.,Hard,20,23.6,5.5,0.726,3.6000000000000014,3.6000000000000014
Kalinina A.,Jeanjean L.,Hard,24,24.3,5.7,0.5,0.3000000000000007,0.3000000000000007
Joint M.,Grabher J.,Hard,17,23.4,5.7,0.7559999999999999,6.399999999999999,6.399999999999999
Avanesyan E.,Frech M.,Hard,28,24.2,5.5,0.45799999999999996,-3.8000000000000007,3.8000000000000007
Saville D.,Kostyuk M.,Hard,23,24.2,5.7,0.267,1.1999999999999993,1.1999999999999993
Sramkova R.,Sun L.,Hard,16,24.7,5.7,0.45899999999999996,8.7,8.7
Linette M.,Cocciaretto E.,Hard,16,24.7,5.9,0.535,8.7,8.7
Sonmez Z.,Sakkari M.,Hard,20,24.1,5.6,0.45899999999999996,4.100000000000001,4.100000000000001
Saville D.,Kalinina A.,Hard,26,24.4,5.7,0.45299999999999996,-1.6000000000000014,1.6000000000000014
Avanesyan E.,Bouzas Maneiro J.,Hard,17,24.7,5.8,0.517,7.699999999999999,7.699999999999999
Joint M.,Vekic D.,Hard,15,24.4,5.7,0.449,9.399999999999999,9.399999999999999
Badosa P.,Cristian J.,Hard,15,24.1,6.0,0.54,9.100000000000001,9.100000000000001
Sramkova R.,Haddad Maia B.,Hard,22,24.5,5.7,0.512,2.5,2.5
Navarro E.,Martic P.,Hard,15,23.9,5.9,0.731,8.899999999999999,8.899999999999999
Avanesyan E.,Joint M.,Hard,24,24.2,5.7,0.485,0.1999999999999993,0.1999999999999993
Arango E.,Sramkova R.,Hard,27,24.1,5.5,0.442,-2.8999999999999986,2.8999999999999986
Navarro E.,Sonmez Z.,Hard,18,24.3,5.6,0.6409999999999999,6.300000000000001,6.300000000000001
Navarro E.,Avanesyan E.,Hard,18,23.4,5.6,0.679,5.399999999999999,5.399999999999999
Arango E.,Saville D.,Hard,27,24.3,5.9,0.517,-2.6999999999999993,2.6999999999999993
Navarro E.,Arango E.,Hard,12,23.5,5.8,0.7020000000000001,11.5,11.5
Sun L.,Sramkova R.,Hard,29,24.7,5.9,0.551,-4.300000000000001,4.300000000000001
Garcia C.,Pera B.,Hard,19,25.1,5.8,0.586,6.100000000000001,6.100000000000001
Lamens S.,Bouzkova M.,Hard,27,23.6,5.8,0.267,-3.3999999999999986,3.3999999999999986
Linette M.,Stearns P.,Hard,29,24.5,5.5,0.514,-4.5,4.5
Dolehide C.,Rakhimova K.,Hard,21,24.5,5.6,0.513,3.5,3.5
Krueger A.,Volynets K.,Hard,22,22.9,5.8,0.34299999999999997,0.8999999999999986,0.8999999999999986
Yastremska D.,Yuan Y.,Hard,18,24.2,5.8,0.467,6.199999999999999,6.199999999999999
Kenin S.,Inglis M.,Hard,15,24.5,5.8,0.496,9.5,9.5
Kudermetova P.,Liu C.,Hard,18,24.0,5.9,0.451,6.0,6.0
Bronzetti L.,Kalinina A.,Hard,22,23.7,5.5,0.47100000000000003,1.6999999999999993,1.6999999999999993
Tomova V.,Danilovic O.,Hard,17,23.9,5.7,0.33399999999999996,6.899999999999999,6.899999999999999
Uchijima M.,Raducanu E.,Hard,17,23.5,5.6,0.255,6.5,6.5
Cirstea S.,Joint M.,Hard,20,23.8,5.8,0.703,3.8000000000000007,3.8000000000000007
Kartal S.,Lepchenko V.,Hard,21,23.8,5.8,0.78,2.8000000000000007,2.8000000000000007
Bencic B.,Maria T.,Hard,14,24.2,5.7,0.713,10.2,10.2
Cristian J.,Kudermetova V.,Hard,17,24.9,5.8,0.45299999999999996,7.899999999999999,7.899999999999999
Birrell K.,Golubic V.,Hard,20,24.1,5.7,0.41600000000000004,4.100000000000001,4.100000000000001
Potapova A.,Bouzas Maneiro J.,Hard,35,23.8,5.8,0.599,-11.2,11.2
Kessler M.,Blinkova A.,Hard,15,24.1,5.6,0.664,9.100000000000001,9.100000000000001
Jovic I.,Grabher J.,Hard,26,22.5,5.8,0.852,-3.5,3.5
Parks A.,Kalinskaya A.,Hard,19,24.4,5.7,0.349,5.399999999999999,5.399999999999999
Kostyuk M.,Montgomery R.,Hard,16,24.8,5.9,0.665,8.8,8.8
Muchova K.,Cocciaretto E.,Hard,19,24.3,5.7,0.688,5.300000000000001,5.300000000000001
Rybakina E.,Lamens S.,Hard,18,23.0,5.9,0.858,5.0,5.0
Siniakova K.,Putintseva Y.,Hard,16,24.1,5.6,0.542,8.100000000000001,8.100000000000001
Yastremska D.,Jabeur O.,Hard,16,24.6,5.6,0.391,8.600000000000001,8.600000000000001
Sun L.,Noskova L.,Hard,17,24.5,5.5,0.41200000000000003,7.5,7.5
Dolehide C.,Lys E.,Hard,23,24.8,5.7,0.39299999999999996,1.8000000000000007,1.8000000000000007
Swiatek I.,Garcia C.,Hard,14,23.7,6.0,0.7759999999999999,9.7,9.7
Pegula J.,Linette M.,Hard,18,24.4,5.9,0.759,6.399999999999999,6.399999999999999
Svitolina E.,Krueger A.,Hard,29,22.8,5.8,0.802,-6.199999999999999,6.199999999999999
Andreeva M.,Gracheva V.,Hard,22,23.0,5.7,0.81,1.0,1.0
Collins D.,Baptiste H.,Hard,30,23.8,5.7,0.43799999999999994,-6.199999999999999,6.199999999999999
Zheng Q.,Azarenka V.,Hard,19,24.6,5.7,0.518,5.600000000000001,5.600000000000001
Sakkari M.,Tomova V.,Hard,15,23.8,5.8,0.679,8.8,8.8
Keys M.,Potapova A.,Hard,15,24.4,5.9,0.56,9.399999999999999,9.399999999999999
Kudermetova P.,Alexandrova E.,Hard,20,24.8,5.8,0.317,4.800000000000001,4.800000000000001
Bronzetti L.,Frech M.,Hard,21,24.3,5.8,0.43700000000000006,3.3000000000000007,3.3000000000000007
Paolini J.,Jovic I.,Hard,29,24.3,5.7,0.562,-4.699999999999999,4.699999999999999
Vekic D.,Avanesyan E.,Hard,18,24.3,5.6,0.573,6.300000000000001,6.300000000000001
Gauff C.,Uchijima M.,Hard,32,24.2,5.5,0.713,-7.800000000000001,7.800000000000001
Kartal S.,Haddad Maia B.,Hard,15,23.3,5.9,0.703,8.3,8.3
Mertens E.,Birrell K.,Hard,22,23.8,5.5,0.649,1.8000000000000007,1.8000000000000007
Kasatkina D.,Kenin S.,Hard,31,24.3,5.7,0.518,-6.699999999999999,6.699999999999999
Bencic B.,Anisimova A.,Hard,30,24.1,5.6,0.425,-5.899999999999999,5.899999999999999
Samsonova L.,McNally C.,Hard,23,24.2,5.6,0.512,1.1999999999999993,1.1999999999999993
Sabalenka A.,Kessler M.,Hard,22,24.1,5.8,0.746,2.1000000000000014,2.1000000000000014
Shnaider D.,Parks A.,Hard,14,24.4,5.6,0.68,10.399999999999999,10.399999999999999
Navarro E.,Cirstea S.,Hard,29,24.7,5.6,0.45799999999999996,-4.300000000000001,4.300000000000001
Swiatek I.,Yastremska D.,Hard,14,23.7,5.8,0.7829999999999999,9.7,9.7
Kostyuk M.,Dolehide C.,Hard,18,23.8,5.7,0.6920000000000001,5.800000000000001,5.800000000000001
Rybakina E.,Boulter K.,Hard,18,23.2,5.8,0.823,5.199999999999999,5.199999999999999
Muchova K.,Siniakova K.,Hard,19,24.3,5.7,0.594,5.300000000000001,5.300000000000001
Svitolina E.,Collins D.,Hard,18,22.7,6.2,0.769,4.699999999999999,4.699999999999999
Andreeva M.,Tauson C.,Hard,15,23.5,5.7,0.7090000000000001,8.5,8.5
Zheng Q.,Sun L.,Hard,22,24.5,5.9,0.63,2.5,2.5
Keys M.,Mertens E.,Hard,31,24.4,5.8,0.519,-6.600000000000001,6.600000000000001
Kartal S.,Kudermetova P.,Hard,21,23.9,5.9,0.7340000000000001,2.8999999999999986,2.8999999999999986
Gauff C.,Sakkari M.,Hard,21,24.5,5.9,0.588,3.5,3.5
Bencic B.,Shnaider D.,Hard,20,24.5,5.9,0.5920000000000001,4.5,4.5
Sabalenka A.,Bronzetti L.,Hard,15,23.6,5.6,0.785,8.600000000000001,8.600000000000001
Samsonova L.,Kasatkina D.,Hard,25,24.0,5.6,0.536,-1.0,1.0
Vekic D.,Navarro E.,Hard,20,24.0,5.7,0.36700000000000005,4.0,4.0
Paolini J.,Cristian J.,Hard,29,24.4,6.0,0.713,-4.600000000000001,4.600000000000001
Swiatek I.,Muchova K.,Hard,14,24.3,5.7,0.619,10.3,10.3
Svitolina E.,Pegula J.,Hard,27,24.1,5.6,0.409,-2.8999999999999986,2.8999999999999986
Andreeva M.,Rybakina E.,Hard,15,24.5,5.9,0.41600000000000004,9.5,9.5
Zheng Q.,Kostyuk M.,Hard,17,24.1,5.7,0.47700000000000004,7.100000000000001,7.100000000000001
Bencic B.,Gauff C.,Hard,28,23.9,5.7,0.504,-4.100000000000001,4.100000000000001
Keys M.,Vekic D.,Hard,32,24.3,5.6,0.602,-7.699999999999999,7.699999999999999
Sabalenka A.,Kartal S.,Hard,15,25.2,5.6,0.64,10.2,10.2
Samsonova L.,Paolini J.,Hard,16,24.9,6.0,0.35,8.899999999999999,8.899999999999999
Swiatek I.,Zheng Q.,Hard,18,24.0,5.9,0.6779999999999999,6.0,6.0
Andreeva M.,Svitolina E.,Hard,21,24.7,5.6,0.583,3.6999999999999993,3.6999999999999993
Keys M.,Bencic B.,Hard,14,24.0,5.8,0.449,10.0,10.0
Sabalenka A.,Samsonova L.,Hard,17,23.2,5.8,0.773,6.199999999999999,6.199999999999999
Andreeva M.,Swiatek I.,Hard,29,24.3,5.6,0.486,-4.699999999999999,4.699999999999999
Sabalenka A.,Keys M.,Hard,13,23.8,5.7,0.722,10.8,10.8
Andreeva M.,Sabalenka A.,Hard,27,24.5,5.9,0.413,-2.5,2.5
Siniakova K.,Yuan Y.,Hard,29,24.4,5.9,0.588,-4.600000000000001,4.600000000000001
Tomova V.,McNally C.,Hard,26,23.6,5.8,0.349,-2.3999999999999986,2.3999999999999986
Linette M.,Pavlyuchenkova A.,Hard,21,24.3,5.6,0.525,3.3000000000000007,3.3000000000000007
Parks A.,Gracheva V.,Hard,31,24.3,5.7,0.41,-6.699999999999999,6.699999999999999
Bronzetti L.,Bouzas Maneiro J.,Hard,19,23.5,5.7,0.486,4.5,4.5
Cirstea S.,Cocciaretto E.,Hard,22,24.6,5.7,0.684,2.6000000000000014,2.6000000000000014
Osaka N.,Starodubtseva Y.,Hard,28,24.2,5.5,0.7509999999999999,-3.8000000000000007,3.8000000000000007
Sramkova R.,Stefanini L.,Hard,25,23.8,5.9,0.631,-1.1999999999999993,1.1999999999999993
Fruhvirtova L.,Liu C.,Hard,31,23.8,5.6,0.542,-7.199999999999999,7.199999999999999
Masarova R.,Minnen G.,Hard,35,24.4,5.7,0.44299999999999995,-10.600000000000001,10.600000000000001
Baptiste H.,Danilovic O.,Hard,29,24.4,5.7,0.495,-4.600000000000001,4.600000000000001
Krueger A.,Zarazua R.,Hard,17,24.0,5.8,0.377,7.0,7.0
Townsend T.,Li A.,Hard,27,24.6,5.9,0.489,-2.3999999999999986,2.3999999999999986
Blinkova A.,Rakhimova K.,Hard,27,24.4,5.7,0.456,-2.6000000000000014,2.6000000000000014
Birrell K.,Potapova A.,Hard,31,24.4,5.8,0.39,-6.600000000000001,6.600000000000001
Kessler M.,Bouzkova M.,Hard,28,24.0,5.6,0.46,-4.0,4.0
Pera B.,Tomljanovic A.,Hard,17,24.7,5.9,0.491,7.699999999999999,7.699999999999999
Garcia C.,Bondar A.,Hard,19,24.5,5.5,0.537,5.5,5.5
Eala A.,Volynets K.,Hard,22,24.4,5.4,0.49,2.3999999999999986,2.3999999999999986
Stearns P.,Boulter K.,Hard,18,24.5,5.7,0.516,6.5,6.5
Uchijima M.,Lamens S.,Hard,19,24.3,5.7,0.527,5.300000000000001,5.300000000000001
Bencic B.,Yastremska D.,Hard,29,23.8,5.8,0.6809999999999999,-5.199999999999999,5.199999999999999
Azarenka V.,Kalinina A.,Hard,16,24.2,5.6,0.632,8.2,8.2
Sherif M.,Sun L.,Hard,29,24.2,5.6,0.284,-4.800000000000001,4.800000000000001
Paolini J.,Sramkova R.,Hard,20,24.0,5.9,0.727,4.0,4.0
Krueger A.,Rybakina E.,Hard,28,23.0,5.5,0.14,-5.0,5.0
Gauff C.,Kenin S.,Hard,12,23.9,5.8,0.679,11.899999999999999,11.899999999999999
Linette M.,Alexandrova E.,Hard,21,24.4,5.8,0.387,3.3999999999999986,3.3999999999999986
Sabalenka A.,Tomova V.,Hard,15,22.4,5.8,0.845,7.399999999999999,7.399999999999999
Townsend T.,Putintseva Y.,Hard,27,24.7,5.6,0.526,-2.3000000000000007,2.3000000000000007
Jabeur O.,Siniakova K.,Hard,23,24.3,5.8,0.505,1.3000000000000007,1.3000000000000007
Sakkari M.,Bronzetti L.,Hard,31,24.4,5.6,0.605,-6.600000000000001,6.600000000000001
Baptiste H.,Kasatkina D.,Hard,31,24.5,5.8,0.469,-6.5,6.5
Masarova R.,Vekic D.,Hard,16,24.5,5.7,0.43,8.5,8.5
Fruhvirtova L.,Haddad Maia B.,Hard,14,23.8,5.9,0.525,9.8,9.8
Osaka N.,Samsonova L.,Hard,18,24.4,5.8,0.6559999999999999,6.399999999999999,6.399999999999999
Collins D.,Cirstea S.,Hard,23,22.9,5.9,0.28300000000000003,-0.10000000000000142,0.10000000000000142
Blinkova A.,Shnaider D.,Hard,23,23.9,5.7,0.336,0.8999999999999986,0.8999999999999986
Kalinskaya A.,Uchijima M.,Hard,16,24.1,5.9,0.653,8.100000000000001,8.100000000000001
Swiatek I.,Garcia C.,Hard,20,23.8,5.8,0.762,3.8000000000000007,3.8000000000000007
Eala A.,Ostapenko J.,Hard,25,24.0,5.8,0.55,-1.0,1.0
Mertens E.,Stearns P.,Hard,17,24.3,5.7,0.617,7.300000000000001,7.300000000000001
Badosa P.,Mboko V.,Hard,32,24.0,5.4,0.429,-8.0,8.0
Raducanu E.,Navarro E.,Hard,34,24.0,5.8,0.52,-10.0,10.0
