date,tournament,surface,round,winner,loser,b365_winner_odds,b365_loser_odds,model_winner_prob,model_winner_odds,model_loser_odds,model_pick,model_pick_prob,model_pick_odds,b365_pick_odds,clv_pick,model_correct,pick_won
2024-12-30,Brisbane International,Hard,1st Round,Yuan Y.,Rus A.,1.57,2.38,0.631,1.5847860538827259,2.710027100271003,Yuan Y.,0.631,1.5847860538827259,1.57,-0.5942675159235633,True,True
2024-12-31,Brisbane International,Hard,2nd Round,Avanesyan E.,Badosa P.,4.33,1.22,0.392,2.5510204081632653,1.6447368421052633,Badosa P.,0.608,1.6447368421052633,1.22,-21.1672131147541,False,False
2024-12-31,Brisbane International,Hard,2nd Round,Putintseva Y.,Kessler M.,1.44,2.75,0.44,2.272727272727273,1.7857142857142856,Kessler M.,0.56,1.7857142857142856,2.75,19.63636363636364,False,False
2024-12-31,Brisbane International,Hard,2nd Round,Krueger A.,Kalinskaya A.,2.3,1.62,0.359,2.785515320334262,1.5600624024961,Kalinskaya A.,0.6409999999999999,1.5600624024961,1.62,2.3716049382715987,False,False
2024-12-31,Brisbane International,Hard,2nd Round,Sabalenka A.,Zarazua R.,1.02,19.0,0.784,1.2755102040816326,4.629629629629629,Sabalenka A.,0.784,1.2755102040816326,1.02,-19.639215686274504,True,True
2024-12-31,Brisbane International,Hard,2nd Round,Andreeva M.,Blinkova A.,1.2,4.5,0.823,1.2150668286755772,5.649717514124294,Andreeva M.,0.823,1.2150668286755772,1.2,-1.0333333333333417,True,True
2024-12-31,Brisbane International,Hard,2nd Round,Bouzkova M.,Ostapenko J.,1.62,2.3,0.621,1.6103059581320451,2.638522427440633,Bouzkova M.,0.621,1.6103059581320451,1.62,0.371604938271608,True,True
2024-12-31,Brisbane International,Hard,2nd Round,Jabeur O.,Alexandrova E.,2.0,1.8,0.469,2.1321961620469083,1.8832391713747645,Alexandrova E.,0.531,1.8832391713747645,1.8,-2.4555555555555553,False,False
2024-12-31,Brisbane International,Hard,2nd Round,Kalinina A.,Shnaider D.,5.0,1.17,0.34700000000000003,2.881844380403458,1.5313935681470137,Shnaider D.,0.653,1.5313935681470137,1.17,-20.170085470085475,False,False
2025-01-01,Brisbane International,Hard,2nd Round,Birrell K.,Navarro E.,5.0,1.17,0.326,3.067484662576687,1.4836795252225519,Navarro E.,0.674,1.4836795252225519,1.17,-18.070085470085473,False,False
2025-01-01,Brisbane International,Hard,2nd Round,Kudermetova P.,Samsonova L.,2.3,1.62,0.382,2.6178010471204187,1.6181229773462784,Samsonova L.,0.618,1.6181229773462784,1.62,0.07160493827160774,False,False
2025-01-01,Brisbane International,Hard,2nd Round,Kasatkina D.,Stearns P.,1.73,2.1,0.48,2.0833333333333335,1.923076923076923,Stearns P.,0.52,1.923076923076923,2.1,4.380952380952385,False,False
2025-01-01,Brisbane International,Hard,2nd Round,Potapova A.,Yastremska D.,1.53,2.5,0.5770000000000001,1.7331022530329288,2.3640661938534278,Potapova A.,0.5770000000000001,1.7331022530329288,1.53,-7.659477124183001,True,True
2025-01-01,Brisbane International,Hard,2nd Round,Lamens S.,Frech M.,2.38,1.57,0.358,2.793296089385475,1.557632398753894,Frech M.,0.642,1.557632398753894,1.57,0.5057324840764377,False,False
2025-01-01,Brisbane International,Hard,2nd Round,Yuan Y.,Kostyuk M.,2.75,1.44,0.35700000000000004,2.8011204481792715,1.5552099533437014,Kostyuk M.,0.643,1.5552099533437014,1.44,-5.14444444444444,False,False
2025-01-01,Brisbane International,Hard,2nd Round,Azarenka V.,Joint M.,1.36,3.2,0.626,1.597444089456869,2.6737967914438503,Azarenka V.,0.626,1.597444089456869,1.36,-10.929411764705875,True,True
2025-01-02,Brisbane International,Hard,3rd Round,Birrell K.,Potapova A.,2.63,1.5,0.33,3.0303030303030303,1.4925373134328357,Potapova A.,0.67,1.4925373134328357,1.5,0.33333333333334103,False,False
2025-01-02,Brisbane International,Hard,3rd Round,Krueger A.,Lamens S.,1.57,2.38,0.5579999999999999,1.792114695340502,2.262443438914027,Krueger A.,0.5579999999999999,1.792114695340502,1.57,-7.89426751592357,True,True
2025-01-02,Brisbane International,Hard,3rd Round,Kudermetova P.,Kasatkina D.,2.5,1.53,0.434,2.3041474654377883,1.7667844522968197,Kasatkina D.,0.5660000000000001,1.7667844522968197,1.53,-8.759477124183002,False,False
2025-01-02,Brisbane International,Hard,3rd Round,Kalinina A.,Yuan Y.,2.2,1.67,0.455,2.1978021978021975,1.8348623853211008,Yuan Y.,0.545,1.8348623853211008,1.67,-5.380239520958085,False,False
2025-01-02,Brisbane International,Hard,3rd Round,Andreeva M.,Noskova L.,1.57,2.38,0.6859999999999999,1.457725947521866,3.1847133757961785,Andreeva M.,0.6859999999999999,1.457725947521866,1.57,4.905732484076431,True,True
2025-01-02,Brisbane International,Hard,3rd Round,Jabeur O.,Avanesyan E.,1.67,2.2,0.6579999999999999,1.5197568389057752,2.923976608187134,Jabeur O.,0.6579999999999999,1.5197568389057752,1.67,5.919760479041902,True,True
2025-01-02,Brisbane International,Hard,3rd Round,Bouzkova M.,Azarenka V.,2.2,1.67,0.491,2.0366598778004072,1.9646365422396856,Azarenka V.,0.509,1.9646365422396856,1.67,-8.980239520958088,False,False
2025-01-02,Brisbane International,Hard,3rd Round,Sabalenka A.,Putintseva Y.,1.13,6.0,0.795,1.2578616352201257,4.878048780487805,Sabalenka A.,0.795,1.2578616352201257,1.13,-8.995575221238939,True,True
2025-01-03,Brisbane International,Hard,Quarterfinals,Kalinina A.,Birrell K.,1.73,2.1,0.527,1.8975332068311195,2.1141649048625792,Kalinina A.,0.527,1.8975332068311195,1.73,-5.103468208092488,True,True
2025-01-03,Brisbane International,Hard,Quarterfinals,Andreeva M.,Jabeur O.,1.3,3.5,0.711,1.4064697609001406,3.4602076124567476,Andreeva M.,0.711,1.4064697609001406,1.3,-5.82307692307692,True,True
2025-01-03,Brisbane International,Hard,Quarterfinals,Kudermetova P.,Krueger A.,2.38,1.57,0.506,1.976284584980237,2.0242914979757085,Kudermetova P.,0.506,1.976284584980237,2.38,8.583193277310924,True,True
2025-01-03,Brisbane International,Hard,Quarterfinals,Sabalenka A.,Bouzkova M.,1.1,7.0,0.759,1.3175230566534915,4.149377593360995,Sabalenka A.,0.759,1.3175230566534915,1.1,-15.009090909090904,True,True
2025-01-04,Brisbane International,Hard,Semifinals,Kudermetova P.,Kalinina A.,1.91,1.91,0.47200000000000003,2.11864406779661,1.8939393939393938,Kalinina A.,0.528,1.8939393939393938,1.91,0.4439790575916258,False,False
2025-01-04,Brisbane International,Hard,Semifinals,Sabalenka A.,Andreeva M.,1.36,3.2,0.616,1.6233766233766234,2.6041666666666665,Sabalenka A.,0.616,1.6233766233766234,1.36,-11.929411764705877,True,True
2025-01-05,Brisbane International,Hard,The Final,Sabalenka A.,Kudermetova P.,1.06,10.0,0.8290000000000001,1.2062726176115801,5.847953216374268,Sabalenka A.,0.8290000000000001,1.2062726176115801,1.06,-11.439622641509416,True,True
2025-01-06,Adelaide International,Hard,1st Round,Putintseva Y.,Vekic D.,1.67,2.2,0.557,1.7953321364452421,2.2573363431151243,Putintseva Y.,0.557,1.7953321364452421,1.67,-4.180239520958084,True,True
2025-01-06,Adelaide International,Hard,1st Round,Kasatkina D.,Gadecki O.,1.29,3.75,0.5720000000000001,1.7482517482517481,2.336448598130841,Kasatkina D.,0.5720000000000001,1.7482517482517481,1.29,-20.319379844961226,True,True
2025-01-06,Adelaide International,Hard,1st Round,Vondrousova M.,Pavlyuchenkova A.,1.8,2.0,0.672,1.488095238095238,3.0487804878048785,Vondrousova M.,0.672,1.488095238095238,1.8,11.644444444444446,True,True
2025-01-06,Adelaide International,Hard,1st Round,Badosa P.,Stearns P.,1.53,2.5,0.5489999999999999,1.8214936247723135,2.2172949002217295,Badosa P.,0.5489999999999999,1.8214936247723135,1.53,-10.459477124183014,True,True
2025-01-07,Adelaide International,Hard,1st Round,Keys M.,Haddad Maia B.,1.44,2.75,0.696,1.4367816091954024,3.2894736842105265,Keys M.,0.696,1.4367816091954024,1.44,0.15555555555555323,True,True
2025-01-07,Adelaide International,Hard,1st Round,Sakkari M.,Noskova L.,2.63,1.5,0.41100000000000003,2.4330900243309,1.697792869269949,Noskova L.,0.589,1.697792869269949,1.5,-7.766666666666666,False,False
2025-01-07,Adelaide International,Hard,1st Round,Samsonova L.,Bouzkova M.,2.2,1.67,0.442,2.262443438914027,1.792114695340502,Bouzkova M.,0.5579999999999999,1.792114695340502,1.67,-4.080239520958095,False,False
2025-01-07,Adelaide International,Hard,1st Round,Ostapenko J.,Frech M.,1.67,2.2,0.467,2.141327623126338,1.8761726078799252,Frech M.,0.5329999999999999,1.8761726078799252,2.2,7.845454545454539,False,False
2025-01-07,Adelaide International,Hard,1st Round,Shnaider D.,Siniakova K.,1.5,2.63,0.494,2.0242914979757085,1.976284584980237,Siniakova K.,0.506,1.976284584980237,2.63,12.57718631178707,False,False
2025-01-07,Adelaide International,Hard,1st Round,Krueger A.,Kostyuk M.,2.0,1.8,0.263,3.8022813688212924,1.3568521031207599,Kostyuk M.,0.737,1.3568521031207599,1.8,18.144444444444442,False,False
